歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
精 神 食 粮 ，清 晨 醒 脑,266752087,腊月十九27,介绍：旋律电音，经典,553,4832,4,1,0
「后摇」深陷前奏,569863739,恶意-__-,介绍：●卡塔西斯即拉丁语katharsis的音译 作宗教术语是“净化”“净罪”的意思，作医学术语一直被认为是 宣泄的含义，在音乐上主旨要义为，通过音乐或其他艺术宣泄过分强烈的情绪，从而恢复保持住心理情绪。,241,27581,402,17,2
「后摇」沉溺在深海之中,314994076,Ghostface_Killers,介绍：听着后摇滚超越现实的编曲风格，让他带着你看看现实的另一面吧．,50,428285,7694,223,78
旋律至上【跑步节奏感拉满】,1768716590,懒猪-w,介绍：听着音乐不自觉的就跳起来了，青海和西安都不在话下,18,87,1,0,0
熄灭的太阳和动摇的火焰——酒神颂1,4002256593,Katukv--1984,介绍：疲惫的太阳沉重地累赘灵魂，将时间拖进又一个无趣轮回。水银灯的光芒淹没了希望，灰色档案的流水线生产死亡。生于秋天的雏鸟，总逃不出严冬的意象。北风的铁蹄踏破哀号，审判一切虚构的温柔乡。不应有任何同情，这是你们对秩序信任的报偿。当所有末人的名字被遗忘，会有另一代人将白桦树歌唱。,557,145,0,0,0
【爆发后摇】一场暴雨，一声惊雷,62055733,愚者的末尾,介绍：ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀ヽヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ 、｀｀、 ｀、ヽ｀ 、｀ ヽ｀ヽ、ヽ ｀、ヽ｀｀、ヽ、｀｀、｀、ヽ｀｀、 、ヽヽ｀、｀、、ヽヽ、｀｀、 、 ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀｀ヽ、｀｀ヽ｀、、｀ヽ｀、,55,724292,18356,419,178
电影人声采样｜当孤独成为习惯,1385663515,不能辜负苏畅,介绍：Stevieboi(歌单名字提供者),53,1634334,33107,333,203
摇滚｜小众 摇滚新声代 小众宝藏乐队,532830578,港岛姐姐的妹夫,介绍：迷幻摇滚，电子摇滚，朋克，梦幻流行，后摇，独立摇滚，各种类型的新兴乐队正在崭露头角，希望把更多好听的小众乐队带给大家,95,68059,695,11,4
后摇梦境 M E E T U,52895593,拾笺,介绍：而现在天地间只剩下我一人，在此静静坐着记忆中的窗口打开了一条河流都逝去了剩下我孤悬在回忆和期待之间像是伽利略的钟摆向虚无的两侧逃遁而又永远不能远去剩下我血液闲着泪腺闲着汗腺闲着迷茫和痛苦闲着剩下我在恐惧之后在期待之前剩下我孤独在左寂寞在右像是一个假装的诗人静静和空气对话但是空气永远都不会理我这个渺小卑微的生命我蜷缩在此冰冷的地板然后坐起看着窗外阳光依旧明媚空气依旧新鲜只是青草似乎少了颜色鲜花像是失掉了芬芳也许这就是一个人的样子也许这也是我的生活,26,150846,3006,109,95
[沙鲁克汗歌曲] ♬,1375207328,DJ-鲁米尤,介绍：沙鲁克汗（ Shahrukh Khan )1965年11月2日出生于印度新德里哈里亚纳邦古尔冈，印度国宝级巨星，是印度宝莱坞当代最成功的男演员，共八次夺得印度电影观众奖,80,58,2,0,0
欧美律动：带上耳机聆听卡点的节奏,1810332492,MilanYe,介绍：我把温柔设置成了仅你可见。保持良好的审美和终身浪漫。,29,1687,507,0,0
氛围钢琴？新古典？后摇？反正没词儿,117354855,駄目少女,介绍：我的精神伴侣希望于你也是,99,5068,96,3,7
[后摇思绪浪潮] 沉入后摇海洋 与情绪共舞,1463586082,云音乐官方歌单,介绍：后摇滚是摇滚乐的一个子流派，这一概念于1994年由评论家西蒙·雷诺兹首次提出。后摇滚体现了很多流派的特点，如实验音乐、氛围音乐、太空摇滚、自由爵士、简约音乐等音乐风格元素。后摇的一个特点是，所用乐器一般与摇滚乐相同，但节奏、和声、旋律、音色及和弦进行都有别于传统摇滚，颠覆了摇滚乐的基本概念与传统架构。后摇中人声很少见，且当有人声的时候，它也不是像传统的那样作为主旋律并且有清晰的歌词，而更像一种乐器。在后摇中，人声多为很轻柔的哼唱，不规律地分布在整首歌中。,20,8420933,47158,510,348
纯吉他solo大全◊摇滚爵士后摇纯音◊持更,606981877,WuZiu,介绍：歌单无先后次序。包含中外不管大众小众的吉他手或前摇后摇乐队的音乐。还有哇，有什么错误或者有哪个吉他手或乐队我没有发现都欢迎评论告诉我啊！因为曲子太多，风格各异，建议开随机播放，听到符合心意的音乐就直接顺藤摸瓜。希望大家可以在这个歌单里发现更多自己喜欢的音乐家，风格。,965,183694,4630,89,45
什么哈曼卡顿、BOSE炸它盘它,134133025,GTRLRY,介绍：均衡器:低音最高高音最低强度深度最高混响:浴室鲸鱼:超重低音注意先后然后用音量调节好最佳效果再来杯威士忌泡枸杞精心甄选绝不敷衍低震不燥仅供发烧好吧……,437,30116,245,14,3
日喀则猩猩地堡.,1315264891,你的-BMS,介绍：日喀则猩猩地堡.宁珠.,78,123613,972,51,6
逆境无赖开司-默示录OST（动画原声）,44829537,浆糊的黎明,介绍：福本伸行“赌博系列漫画”中知名度最高的《逆境无赖系列》改编的动画！逆境无赖开司系列第一部：赌博默示录OST。讲述了小混混主角伊藤开司的血泪还债史。ざわ~ざわ~ざわ~同样类型的番中推荐《斗牌传说》、《超智游戏》、《欺诈游戏》和《逆转监督》,53,67803,815,6,21
摇滚乐迷婚礼曲目,473834830,August-放下执念,介绍：国内摇滚乐队，自我感觉适合婚礼现场的歌曲收集向，毕竟我还是一条单身狗，如果未来有机会，希望可以在我的婚礼现场播放!欢迎看到歌单的朋友，积极补充!,71,100,2,0,0
『听歌刷歌两不误』短小精悍纯音乐精选,374024623,峯哥牛逼,介绍：手工挑选时长1到2分钟的纯音乐，刷歌听歌两不误，还不影响每日推荐！,933,52523,493,15,17
「后摇」东西方后摇差异系列之旋律向,304387421,咏物派,介绍：空旷黑寂中的挣扎反抗,1895,153592,2298,116,60
边哭边摇边嗨曲~上头dj,3863906558,ai沐春风5420,介绍：有一天我突然想明白一件事：我tm会死啊，也许是十年，也许是三十年，也许是五十年……谁知道呢！谁知道呢，这个世界上会没有我任何存在过的痕迹，那一刻我顿悟了。什么面子，什么压力，全不重要了。最重要的就是开心，想要做的就马上去做，我们要做的，少让自己留遗憾。,243,548,7,0,0
【合集】优斯迪吧USDB,264136349,汐儿瓦娜斯,介绍：优斯迪吧USDB电台音乐薛东辉（薛优雅），李羽（李斯文），彪马苏（彪迪吧），李厚辰，camel等人组成的一档“伟大的，文明的，科学的电台！”post-rock；后摇,1620,51234,1112,25,108
嗨味（超重低音 BOSE音响专属 ）,566797630,GAI伟-,介绍：让低音成为你释放压力的选择,376,18936,120,12,0
Zero酒吧,399013470,zukra501,介绍：dj,56,51,0,1,0
beats 蒸汽波 jazzhiphop 80年代,359293284,realpurple,介绍：这是自己感动的世界.,1536,102012,1874,50,21
“我可以牽你的手嗎”,119853076,一觉就睡醒了,介绍：“长颈鹿去动物园看长颈鹿”,198,206327,3286,42,51
跟有情人做點快樂事,339628336,-迷妹-,无,131,608868,16045,466,206
土嗨(BGM)带你上高速，请乘客带好安全带,1722636236,不再是海棠,介绍：土是真的土 嗨是真的嗨 喜欢收藏 不喜欢勿喷 谢谢,182,430943,2357,25,16
Bounce土嗨~土到极致就是潮,1833476813,Shaw_Official,无,919,2441938,19859,787,74
没有哈姆雷特（后摇国产的）,1508525719,阿曼有点无聊,介绍：No die,32,401,10,1,0
【社会语录】江湖不是打打杀杀 是人情世故,1609443493,A我在人间贩卖黄昏,介绍：“如何优雅老去？”“勤力洗洁护理肉身，不烟不酒勿沾毒药，睡眠充足，还有，不可吃饱，常带三分饥。”“恋爱呢？”“多享受异性陪伴，勿奢望对方仆心仆命。”——《代寻失去时光》,283,328077,2351,23,2
【新疆舞曲】迈开脚步跳舞吧跳舞吧,4929886127,木七七-muqiqi,介绍：长街灯火阑珊处，心碎之人随风舞。愿你余生有人共舞，也能独自起舞。,39,1464,3,0,0
治愈后摇：白鹿踏至噩梦消散,1548006936,鱼饼好吃耶,介绍：林深可见白鹿阳光穿雾透射让噩梦都消散世上所有难熬的东西都要靠自己抗住才是人生的成长,42,327392,5495,162,95
『助眠』睡于明亮的白昼,126014458,程乌青,介绍：一些幽柔音乐精选集（包括后摇，新古典，现代纯音乐）,97,160850,1732,98,28
给排骨的助眠歌单（也是个人分享的合集,313938362,碳酸镁咀嚼片,介绍：大概就是不定时更新,37,67,1,1,0
听到最后让你肾上腺素飙升300%,3580358964,DJ-Rlerms,介绍：上天不会给你刀刻般的肌肉（God won't give you a knife like muscle.）,105,502,2,0,1
「蒸 汽 波」志 国 夜 总 会,331706857,妤泉Echo,介绍：所有的迷恋都是自己赋予的想象和幻觉那些你戒不掉的人，放不下的感情承载了你内心深处的渴望。迷恋的本质确是自恋陷入自己营造的梦工厂你爱的是你自己满心营造的以为的那种模样。越是看似美好的东西越容易是虚幻的假象。拨开幻想的迷雾从执念中看清心底的症结这是我们走出一段虐恋必经的功课晚安（手动打一个月亮）,47,1164968,25117,420,90
后摇 死寂 麻木 沉沦,65566491,imean呦,介绍：时而清醒 时而沉沦,112,114440,3022,61,19
苏六 哪吒 条子,1493933395,30TOMMY,介绍：哥们儿，来听听他们社会语录，直播专属曲。,18,19,0,0,0
后摇本无意 听者赋予情,1590851653,偷偷的叹了口气,介绍：“后摇真是让人又爱又怕”——————————————————想当一颗陨石，几亿光年的漫长旅程，从宇宙划入漆黑的天空，成为人类眼里一抹转瞬即逝的绚烂，再悄无声息的坠入空无一人的角落再重新回到宇宙，成为一个新的小行星，给孤独的银河系增加颗不一样的永恒天体——————————————————后摇滚（Post-Rock）虽然已经有了一个较为正式的称呼，但其实在最初的时候，许多音乐杂志对这一群人所玩的音乐基本上都还是无法做一定论的。像是滚石杂志当初在介绍这些团体时，还只是用“Instrument Rock”一词来称呼他们，其原因主要是这些乐队大部分都较偏向纯乐器演奏而且也没有主唱。同样是玩电吉他、鼓及贝斯的摇滚团体，但换到玩“后摇滚”的乐手中，可能完全转变成另一种完全不同的创作观念，简略地说，所谓“后摇滚”其实就是一种由概念或理论去颠覆传统摇滚音乐创作的模式。,100,243964,3837,130,59
健身房力量训练必备歌单,445893838,邶台新风,介绍：每一个律动都牵动着你的肌纤维，每一个节拍都沸腾着你的血液。卧推，划船，弯举，重金属的律动节奏，与动作完美契合，与健身的灵魂完美一致，别轻易尝试，我怕你爱不释手。,178,2261062,14622,123,30
流行不流行 小众才够味～,18330189,Sate_Llite,介绍：“愿漂泊的人都有酒喝，愿孤独的人都会唱歌” from 《人海》热评,477,168943,1206,27,40
缓解焦虑，平复情绪,492240073,Orange_Cola,介绍：是橙海目前最喜欢的歌单啦如果你也觉得超极棒就推给你在乎的人吧,101,262364,3097,110,81
【厂牌】Zankyo Record,5186517335,卵痛虫_OxDxWx中国歌迷会,介绍：Japanese record label， established in Tokyo in 2004 to provide great avant-garde music.Label also credited as 残響record -or- 残響レコード .（简介来自Discogs）,752,19,3,0,2
【后摇 】典藏最迷人的 Post Rock,31099045,伦敦酒吐座,介绍：2022 年开始恢复每周精选后更新。（也许是目前云村仅存每周更新新作品的后摇单了。）,704,78442,1931,52,17
满身木屑的桔梗,362601949,Helivesremotemountain,介绍：请你爱我或者给我一把枪,1029,173143,3465,99,40
氛围后摇·音乐抚平情绪,481336063,为我失神,介绍：后摇只提供氛围，你听的都是自己的故事。让音乐来抚平你心中的痛吧。“你是沉默的鼓手。我是骄傲的观众。最不修的岁月中我铭记你垂眼的落寞。唱不过你的醉生梦死方休。爱不老你的如痴如梦游走。你没牵过我的手。那就仍旧是把爱带到命终的朋友。 ”歌单里的每一首歌我都很喜欢，开心莫过于遇到口味相似的人。安静听歌。感谢欣赏。by诱宁2019.12.17.,32,127838,2011,97,28
氛围后摇：孤独的巨兽搁浅在无助的岛,1361633352,蛋壳Maxd,介绍：后摇：后现代摇滚的简称。是一种将电子音乐加入旧式摇滚，形成新的、更为轻松自由的音乐表达风格。后摇滚给听众的音乐感受是与传统意义上的摇滚乐激励情感是完全相反的。它的音乐富于使人催眠和声响低沉单调（尤见于一些以吉他为主的乐队）即使相对亮色的音乐也使人感到镇定和醒脑。后摇音乐大部分架构在摇滚音乐上，但是它实质上不是摇滚音乐。☆本单以低沉氛围后摇的孤独感主☆一头深海的鲸鱼，在不知去往何处的途中，不知为何，搁浅在了一座荒岛。它努力的翻动身体想回归大海，可是此时的大海过于遥远，它也垂垂老矣。不知过了多久，它的眼睛渐渐变成铅色，渐渐失去光泽。它用尽全力发出最后的声音，缓缓渗入一片虚无，消失殆尽；它巨大的身体，平静，起伏，悸动，再归于平静。最后压倒性的寂静与孤独，让它无声无息中归于原点。,65,50987,342,4,0
『暖系后摇』后摇 也可以治愈,132456544,天生黑夜兄,介绍：我希望听后摇的人，不是一味地逃避，迷茫，而是后摇能够给你们一种强大的安静的力量，让你在迷失的时候能够做回自己 ——热评精选了22首后摇，希望能带给你希望温暖,22,134638,2195,94,21
先锋音乐艺术,1603683547,ihateuempty,介绍：各种风格的先锋音乐,3162,15009,306,22,23
北欧后摇氛围，如梦似幻的落寞之旅,54614223,朴露修夏,介绍：泛听北欧五国后摇，感受飘渺浩瀚之灵气，森林极光之氛围，深夜码字阅读之佳品良器，一场孤独者的落寞寻欢。1-14:冰岛后摇逃窜的深海之鱼随虚无的清澈之光而改变。太阳之翅的环绕的湖泊随四维之梦的空洞之镜而升高。迷失的脚步在怀疑的傍晚的雪下。像一次睡眠镶嵌着火炬之网眼的天空捕捉上帝。——— Steinn Steinarr15-20:丹麦后摇如果你不知道来的是什么， 这是黑暗在来临。这是黑暗，这是黑暗的墙壁， 你现在面对着它轻轻说话。如果你不知道谁在侧耳倾听， 倾听的是别的人们； 他们在墙壁那边躺着倾听， 互相叫醒沉睡的人。 如果你不知你的孤寂从何而来， 它是从别的人们那里来。 死与安静，你所要的死与安静。 但是你不知道发生了什么事， 你从隔壁的人们的轻声小语中 获得了一切。总之你获得的不是死与安静。 如果你不知道生命有何意义， 这就是它的意义。———Polon 21-41:瑞典后摇语言死亡的时候死者又死了一次。在潮湿闪耀的犁沟翻动土壤的尖锐字眼，装着冒着热气的咖啡的有缺口文字，曾片刻反射出窗户和窗外嘈杂榆树的明亮但略为剥落的语字，以含羞带怯的自信在暗处摸索的隐密芳香的语字：这些赋予死者生命之外的生命让生者分享更大记忆的语字刚刚才被扬弃于历史之外。何其多的阴影散落！无名姓可安身 他们被逼入最终的流亡。———— Kjell Espmark42-47:挪威后摇当我在这个早晨醒来，窗玻璃已经结霜，而我发热于一场美梦。火炉从它欣赏过的一块木材中彻夜倾倒出温暖。别带着所有的真理向我走来。如果我感到口渴就别把海洋带来。如果我需要光芒就别把天空带来；然而带来一种暗示、一些露水、一粒微尘，如同鸟儿仅仅从水里带走几滴水，如同风仅仅带走一粒盐。 ———Olav H. Hauge48-50:芬兰后摇我神往虚无世界，因为世上的一切我都厌倦乞求。月亮用银色的古碑文为我描述虚无世界。在虚无世界里，我们所有的愿望将神奇地得到满足，在虚无世界里，我们身上的锁链会纷纷松脱，在虚无世界里，我们用月亮的露珠清凉我们被伤口烧烫的额头。呵，我的生命是一个炽热的幻影，一个被我发现，一个被我获取——通往虚无世界的路。——Edith Sodergran,49,9288156,180902,4326,1129
这几年最喜欢的50首后摇,125622,阿勃勃,介绍：爱后摇的日常。,50,89139,1980,43,42
布鲁斯 and 摇滚 ：你是我的小众喜好。,1787551600,Abdukayyum-Abdukadir,介绍：50年代 爵士 R&B 摇摆 摇滚 大乐队 灵魂,31,2216,305,0,0
嗨起来DJ+咚鼓版,443423941,韩恩诺吖,介绍：“送你一朵小红花 来年多喜樂”有推荐歌的联系ID:ENNUO998,370,24878388,111279,729,129
最全后摇乐队代表作集合 post-rock,2977004,我benjamin,无,861,1335667,36662,778,522
后摇:致我热烈而清冷的孤独,514486140,Heilners,介绍：我的内心是一支隐形的交响乐队。我不知道它由哪些乐器组成，不知道我内心中喧响和撞击是怎样的丝竹迸发，是怎样的鼓铎震天。我只知道，自己就是这一片声音的交响。,46,695858,14381,318,77
一个烂人的摇滚歌单,446853460,旧七书,介绍：Die in silence.,1212,87329,1650,49,24
人声后摇 I 怎奈何琼夜一嗓伶俜,85351650,Xenyc,介绍：周遭是茫茫的夜色，黢黑的如同深不见底的潭水。自诩的正义者听不懂我的言语，裹挟足够多我所望不穿的因果，窃声谈论着天气和微渺的同情，像看一只垂死的鸟。孤寂与悲戚凝固着我的眉眼，晦暗的情愫在深处水域泅游，而孤寂又如火舌扑面，将所拥有的一切，瞬间化为齑粉。缄默要把我的心脏啃食殆尽，痛饮星辰，却惹得一身月。只有你的声音能救我了。-倘若将人声作为后摇编曲的一种器乐 ，那无疑是一种无以复加的惊喜。它可以清昶空灵，亦能惉懘撕裂。因此后摇里的声线就如一道川泽，读心印面，藏污纳垢。映衬着漫天繁星，却道出一嗓伶俜。-声 乐 后 摇 I 一 嗓 伶 俜封面摄影 : Cocu Liu,117,3673809,51030,1221,344
「夜店 」顶级酒吧电音蹦迪曲 Dj,583851640,Ma02-,介绍：无限喜爱 蹦迪 喜欢蹦迪歌曲酒吧歌曲关注我歌单谢谢,114,4935721,29091,519,55
R&B Chill｜午夜飞行与你缠绵,51191343,芯媛Bonnie,介绍：电子/后摇/蒸汽波/Trap/Future bass/Jazz 很小众 很杂 很孤独 很冷 很热 很燥 很nice 建议大家随机切换 小心耳朵会怀孕,983,28598,276,6,2
偏头痛专用lofi,407828189,小鱼仔owo,介绍：[不定时更新]♡︎偏头痛患者自用的睡眠歌单。都是几年里收集的最温柔的歌了。希望软软的旋律也能缓解你的头痛呀。这个歌单里收集了相当一部分的lofi歌曲，如果觉得听起来不喜欢，还是在疼痛的时候不要听lofi啦，可能纯音乐和钢琴曲更适合您。愿你尽快摆脱头痛，实在不行吃个布洛芬缓释胶囊吧。,161,651338,11676,355,345
放空自己的大脑°,59410768,-TRTan-,介绍：我愿我行我素，不愿涂脂抹粉，招摇过市，我也不愿——我不愿生活在这个不安的、神经质的、忙乱的、琐细的世纪生活中，宁可或立或坐，沉思着，听任这世纪过去。——梭罗 瓦尔登湖,34,2333588,29401,705,427
Ólafur Arnalds冰岛后摇 沉默与柔软,371992335,酒沐朽,介绍：“你是如何走出人生阴霾的？”“多走几步。”,214,91672,2615,60,21
沙龙 时装周T台Model 秀,338635779,韩韩老湿,介绍：酒吧 聚会 沙龙 奢侈品时装周 T台Model 秀场专用音乐,206,171493,2535,68,6
难以琢磨的另类,1485149624,秋泽健,介绍：MC,78,378460,11268,4192,12
【适饮酒 Drinking Problem】,104388569,冷山集,介绍：那些流鸦，它们本身真已不是重点。我自身已是其中一只。——《深濑昌久》,255,6903,105,3,1
The fin.日本迷幻摇滚乐队,36408408,ChopperRui,介绍：来自日本神户乐队 The Fin. 首张专集《Days With Uncertainty》为日本独立摇滚乐界带来极大冲击，主打歌《Night Time》更让我们重返 90 年代日剧般的公路短片，其音乐录影更是由鬼才导演关根光才执导，并找来当红模特儿 Emma 客串演出，在主音歌手 Yuto Uchino 多愁善感声线下，展示出年轻奔放之共鸣。,27,1392984,29733,878,268
